,link,site,category
253,https://www.nyasatimes.com/malawi-army-soldier-arrested-possessing-indian-hemp/,www.nyasatimes.com,hemp
254,https://www.zodiakmalawi.com/nw/national-news/65-news-in-central-region/4201-kk-council-reveal-plans-to-promote-industrial-hemp-farming,www.zodiakmalawi.com,hemp
255,https://www.mwnation.com/president-okays-industrial-hemp-trials/,www.mwnation.com,hemp
257,https://www.nyasatimes.com/acb-officer-arrested-for-cultivating-indian-hemp-on-bail/,www.nyasatimes.com,hemp
259,https://times.mw/police-burn-109-bags-of-hemp/,times.mw,hemp
260,https://www.nyasatimes.com/malawi-army-soldier-arrested-over-indian-hemp/,www.nyasatimes.com,hemp
261,https://times.mw/tag/indian-hemp/,times.mw,hemp
262,https://www.nyasatimes.com/malawi-woman-arrested-for-possessing-indian-hemp/,www.nyasatimes.com,hemp
263,https://www.nyasatimes.com/jenda-police-confiscate-25-bags-of-indian-hemp-arrest-five/,www.nyasatimes.com,hemp
265,https://www.nyasatimes.com/anti-drug-activists-say-malawi-youths-smoking-hemp/,www.nyasatimes.com,hemp
266,https://www.mwnation.com/hemp-can-boost-economy/,www.mwnation.com,hemp
269,https://www.nyasatimes.com/expert-back-hemp-to-replace-tobacco-and-boost-malawi-economy/,www.nyasatimes.com,hemp
270,https://www.nyasatimes.com/malawi-prison-warders-arrested-for-selling-indian-hemp-to-inmates/,www.nyasatimes.com,hemp
271,https://mwnation.com/police-burn-3-acres-of-indian-hemp/,mwnation.com,hemp
272,https://mwnation.com/government-scale-industrial-hemp-trials/,mwnation.com,hemp
273,https://www.nyasatimes.com/malawi-police-impounds-200-bags-of-indian-hemp/,www.nyasatimes.com,hemp
274,https://www.nyasatimes.com/malawi-police-arrest-nigerian-for-exporting-indian-hemp-to-uk/,www.nyasatimes.com,hemp
276,https://www.nyasatimes.com/court-convicts-duo-for-possessing-indian-hemp/,www.nyasatimes.com,hemp
278,https://www.nyasatimes.com/kasungu-man-fined-k150-000-found-indian-hemp/,www.nyasatimes.com,hemp
282,https://mwnation.com/mra-nabs-drug-mule-confiscates-indian-hemp/,mwnation.com,hemp
283,https://www.nyasatimes.com/mra-nabs-drug-mule-confiscates-indian-hemp/,www.nyasatimes.com,hemp
284,https://mwnation.com/invegrow-invests-k11bn-in-industrial-hemp-production/,mwnation.com,hemp
285,https://mwnation.com/industrial-hemp-advocates-hail-apm/,mwnation.com,hemp
286,https://mwnation.com/cso-throws-weight-behind-industrial-hemp-trials/,mwnation.com,hemp
287,https://www.mwnation.com/frozy-selling-like-indian-hemp/,www.mwnation.com,hemp
288,https://www.nyasatimes.com/driver-abandons-vehicle-full-indian-hemp/,www.nyasatimes.com,hemp
289,https://www.nyasatimes.com/malawi-police-arrest-two-in-phalombe-for-possession-of-medical-drugs-hemp/,www.nyasatimes.com,hemp
290,https://www.nyasatimes.com/malawi-police-drug-traffickers-in-gun-battle-99-bags-of-indian-hemp-confiscated/,www.nyasatimes.com,hemp
291,https://www.mwnation.com/man-arrested-cultivating-hemp/,www.mwnation.com,hemp
292,https://www.nyasatimes.com/police-recovers-50kgs-indian-hemp-at-chingeni-roadblock/,www.nyasatimes.com,hemp
294,https://www.mwnation.com/industrial-hemp-advocates-salute-parliament/,www.mwnation.com,hemp
296,https://www.nyasatimes.com/malawi-revenue-authority-impounds-42-kilos-of-indian-hemp-in-mzimba/,www.nyasatimes.com,hemp
297,https://mwnation.com/man-in-for-possessing-indian-hemp/,mwnation.com,hemp
299,https://mwnation.com/kk-registers-rise-in-indian-hemp-convictions/,mwnation.com,hemp
